Document ID,name,address,categories,coordinates,description,email,image,opening-time,openingTime,phone,tagline,website
aeropuerto-internacional-ernesto-cortissoz,Aeropuerto internacional Ernesto Cortissoz,"Cl. 30 #1-85, Soledad, Atlántico, Colombia","Cultura, Historia","{lng: -74.7808, lat: 10.8896}","El Aeropuerto Internacional Ernesto Cortissoz, ubicado en Soledad, a 12 km de Barranquilla, es la principal puerta de entrada aérea al Atlántico. Nombrado en honor al pionero de la aviación colombiana, conecta con destinos nacionales como Bogotá y Medellín, y algunos internacionales. Su infraestructura funcional incluye tiendas, restaurantes y alquiler de autos, siendo un punto clave para turistas que exploran la región. Aunque no es un destino turístico en sí, su relevancia histórica y su rol como hub de transporte lo convierten en un lugar de interés cultural. La terminal refleja la modernidad de Barranquilla, con servicios básicos para viajeros. Consejos: Reserve un taxi o transporte privado al centro de Barranquilla (20-30 min). Verifique horarios de vuelos, ya que pueden variar. Lleve efectivo para servicios locales. Cómo llegar: Desde la terminal, tome un taxi oficial o un servicio de transporte privado. No hay transporte público directo al centro, por lo que el taxi es la opción más práctica.",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/aeropuerto%20ernesto%20cortizos.webp?alt=media&token=6bbdc4d6-67bf-4932-bf30-7fc0bc155e1c,,24 Hours,No Disponible,Conecta el caribe con el mundo.,https://www.aeropuertocortissoz.com.co
artesanas-de-la-plaza-de-la-convivencia,Artesanas de la Plaza de La Convivencia,"Cl. 45 #45-50, Barranquilla, Atlántico, Colombia","Artesanías, Cultura, Compras","{lng: -74.8012, lat: 10.9875}","Las Artesanas de la Plaza de La Convivencia, en el corazón de Barranquilla, son un colectivo de mujeres artesanas que preservan la cultura caribeña a través de sus creaciones. En esta plaza céntrica, los visitantes pueden encontrar mochilas de cañaflecha, joyería artesanal y accesorios inspirados en las tradiciones del Carnaval de Barranquilla, declarado Patrimonio de la Humanidad por la UNESCO. Este mercado vibrante ofrece una inmersión cultural, con productos que reflejan los ritmos y bailes de la región, como la cumbia y el mapalé. Los precios son accesibles, y negociar con respeto es común. La plaza es un punto de encuentro comunitario, ideal para explorar la vida local. Consejos: Visite por la mañana para evitar el calor; combine con la Catedral Metropolitana. Lleve efectivo y una bolsa reutilizable para sus compras. Cómo llegar: Tome un taxi o autobús al centro de Barranquilla (10 min). La plaza está cerca de la Catedral, en una zona segura y animada.",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/artesanias%20convivencia.webp?alt=media&token=91b74617-b81f-42f4-be6b-97ec0a5cb2ed,,No Disponible,No Disponible,Tradición y talento femenino en la Plaza de Usiacurí,No Disponible
casa-museo-julio-flrez,Casa Museo Julio Flórez,"Cl. 21 #3-15, Usiacurí, Atlántico, Colombia","Cultura, Historia, Arte","{lng: -74.9778, lat: 10.7492}","La Casa Museo Julio Flórez, en el pintoresco municipio de Usiacurí, es un homenaje al célebre poeta romántico colombiano. Esta casa histórica, restaurada para preservar su legado, exhibe manuscritos, objetos personales y fotografías que narran la vida y obra de Flórez, conocido por sus versos melancólicos. El museo ofrece una inmersión cultural en la historia literaria del Atlántico, complementada por el encanto colonial de Usiacurí, famoso por sus artesanías en palma de iraca. Es un lugar tranquilo, ideal para los amantes de la literatura y la historia. Consejos: Combine la visita con un recorrido por la Plaza Central de Usiacurí y talleres de artesanías locales. Lleve agua y protector solar, ya que el clima es cálido. Cómo llegar: Desde Barranquilla, tome un autobús a Usiacurí (45 min) y camine 5 min hasta la casa. La ruta es accesible en taxi o vehículo particular.",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/casa%20museo%20julio%20florez.webp?alt=media&token=4326c510-e833-4a5d-ad66-f841a5803165,,Viernes a domingo 1:00 p.m. – 5:00 p.m.,(+57) 314 549 9201,El hogar del poeta romántico de Colombia,www.casamuseojulioflorez.org
catedral-metropolitana-mara-reina,Catedral Metropolitana María Reina,"Cra. 45 #53-140, Barranquilla, Atlántico, Colombia","Cultura, Historia, Arte","{lng: -74.7992, lat: 10.9878}","La Catedral Metropolitana María Reina, inaugurada en 1982, es un ícono arquitectónico y religioso de Barranquilla. Su diseño moderno, con líneas geométricas y un interior espacioso, refleja la espiritualidad y la historia de la ciudad. Como sede de la Arquidiócesis de Barranquilla, es un punto de encuentro para la comunidad católica y un lugar de inmersión cultural para los visitantes. Las misas diarias y eventos como la Semana Santa resaltan su importancia. La catedral está en el centro, cerca de la Plaza de La Paz, lo que facilita explorar otros sitios históricos. Consejos: Visite durante el día para apreciar la arquitectura; asista a una misa para una experiencia espiritual. Use ropa adecuada (hombros y rodillas cubiertos). Cómo llegar: Tome un taxi o autobús al centro de Barranquilla (10-15 min desde el norte). La dirección es fácilmente accesible en transporte público.",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/catedral%20metropolitana%20maria%20reina%202.webp?alt=media&token=9b851781-e3a9-4e43-828f-840d60f2276f,,Abierto las 24 horas,No disponible,Un símbolo de la fe y la modernidad en Barranquilla.,https://www.catedralmariareina.com
centro-artesanal-corina-urueta,Centro Artesanal Corina Urueta,"Cl. 68 #50-20, Barranquilla, Atlántico, Colombia","Artesanías, Cultura, Compras","{lng: -74.7945, lat: 11.0023}","El Centro Artesanal Corina Urueta, ubicado en el barrio El Prado de Barranquilla, es un espacio dedicado a la promoción de las artesanías locales. Aquí, los visitantes pueden encontrar tejidos, cerámicas y joyería que reflejan la cultura caribeña, muchos inspirados en el Carnaval de Barranquilla. Este centro ofrece talleres de artesanías locales, brindando una experiencia de inmersión cultural. Los productos, elaborados por artesanos de la región, son ideales para souvenirs auténticos. Consejos: Participe en talleres para aprender técnicas tradicionales; lleve efectivo para compras. Visite por la mañana para evitar multitudes. Cómo llegar: Tome un taxi o autobús por la Calle 68 (10 min desde el centro). La zona es segura y cuenta con restaurantes cercanos.",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/centro%20artesanal%20corina%20urueta.webp?alt=media&token=75e11f4a-c89f-4524-8b88-ce7bb2177694,,No Disponible,No Disponible,Preservando el legado artesanal de Usiacurí,No Disponible
ecomochilas-de-luruaco,Ecomochilas de Luruaco,"Cra. 10 #15-30, Luruaco, Atlántico, Colombia","Artesanías, EcoTurismo, Cultura","{lng: -75.1489, lat: 10.6167}","Las Ecomochilas de Luruaco son mochilas tejidas a mano con materiales sostenibles, como caña de flecha, por artesanos del municipio de Luruaco. Este proyecto combina tradición y ecoturismo, ofreciendo productos únicos que reflejan la cultura caribeña. Las mochilas, duraderas y coloridas, son perfectas para quienes buscan artesanías locales con un enfoque ecológico. Los talleres permiten a los visitantes aprender sobre el proceso de tejido. Consejos: Compre directamente a los artesanos para apoyar la economía local; combine con el Parador Turístico de Luruaco. Cómo llegar: Tome un autobús desde Barranquilla a Luruaco (1 h) y camine 10 min. La ruta es accesible en taxi.",,"https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/ecomochila%201.webp?alt=media&token=54fc029e-050d-4611-9881-68cfa2247e2c, https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/ecomochila%202.webp?alt=media&token=043d0bb8-cbb8-40c3-a2f7-7bb5c5f57137, https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/ecomochila%203.webp?alt=media&token=a6bc6634-c8ff-45dd-b75a-80a455ddc07a ",,No Disponible,(+57) 321 5703 741,Artesanía ecológica hecha con materiales reciclados,No Disponible
edgar-rentera-baseball-stadium,Edgar Rentería Baseball Stadium,"Cl. 47 #66-50, Barranquilla, Atlántico, Colombia","Deportes, Cultura, Familia","{lng: -74.8167, lat: 10.9945}","El Edgar Rentería Baseball Stadium, en Barranquilla, es un estadio moderno que alberga partidos del equipo Caimanes de Barranquilla. Nombrado en honor al beisbolista local, es un punto clave para los amantes del deporte y la cultura caribeña. Durante los juegos, se vive un ambiente festivo con ritmos y bailes típicos, como la cumbia. Consejos: Consulte el calendario de juegos en Caimanes de Barranquilla; llegue temprano para buenos asientos. Lleve gorra y protector solar. Cómo llegar: Tome un taxi o autobús por la Calle 47 (15 min desde el centro). La zona es accesible y vibrante.",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/estadio%20de%20beisbol%20edgar%20renteria.webp?alt=media&token=a9e1ec1f-831c-407f-bed0-1157e0737e18,,9 AM - 6 PM,No Disponible,Colombia celebra la pasion por el beisbol,https://www.edgarrenteriastadium.com
el-castillo-de-salgar,El Castillo de Salgar,"Cra. 38 #8-50, Puerto Colombia, Atlántico, Colombia","Historia, Cultura, Fotografía","{lng: -74.8856, lat: 11.0247}","El Castillo de Salgar, construido en 1848 en Puerto Colombia, es una fortaleza histórica con vistas al mar Caribe. Este sitio, parte de la historia portuaria del Atlántico, es ideal para eventos culturales y fotografía. Su ubicación cerca del Muelle de Puerto Colombia y el Malecón del Mar lo hace perfecto para combinar con caminatas y degustaciones de mariscos frescos. Consejos: Visite al atardecer para fotos espectaculares; lleve protector solar. Combine con el Mercado Sazón para una experiencia gastronómica. Cómo llegar: Tome un autobús o taxi desde Barranquilla a Puerto Colombia (20 min).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/el%20castillo%20de%20salgar.webp?alt=media&token=c2d3ec46-1d35-4df8-a1d2-06448d20853e,,No Disponible,(605) 320 7300,Arquitectura colonial frente al Mar Caribe,www.atlanticoesmas.com
el-solar-de-mao---granja-eco-campestre,El Solar de Mao - Granja Eco Campestre,"Vía Tubará, Km 5, Tubará, Atlántico, Colombia","EcoTurismo, Naturaleza, Familia","{lng: -74.9500, lat: 10.8500}","El Solar de Mao, en Tubará, es una granja ecoturística que ofrece actividades al aire libre, senderismo y contacto con la naturaleza. Este destino de ecoturismo es ideal para familias y amantes de la aventura activa, con senderos que atraviesan paisajes tropicales. Los visitantes pueden disfrutar de talleres educativos y comida típica. Consejos: Lleve ropa cómoda, repelente y reserve con antelación. Visite por la mañana para aprovechar el día. Cómo llegar: Tome un taxi o autobús a Tubará desde Barranquilla (30 min).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/solar%20de%20mao.webp?alt=media&token=01a3ce80-a8de-4d5f-a700-971ca1bf153e,,Lunes a viernes: 5:30 a.m. a 12:30 p.m. sábados y domingo: 9:00 a.m. a 5:00 p.m.,(+57) 300 201 8129,Conecta con la naturaleza en el primer mariposario del Caribe,info@solardemao.com
estatua-homenaje-joe-arroyo,Estatua Homenaje Joe Arroyo,"Cra. 54 #59-140, Barranquilla, Atlántico, Colombia","Cultura, Spots instagrameables, Ritmos y baile","{lng: -74.7985, lat: 11.0002}","La Estatua Homenaje Joe Arroyo, en el barrio El Prado de Barranquilla, rinde tributo al legendario cantante de salsa y cumbia. Este monumento, un ícono de los ritmos y bailes caribeños, es un punto instagrameable que celebra la cultura musical del Atlántico. Su ubicación en una zona comercial permite combinar la visita con restaurantes y bares. Consejos: Visite de día para fotos; explore la vida nocturna chic cercana. Cómo llegar: Tome un taxi o autobús por la Carrera 54 (10 min desde el centro).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/estatua%20de%20joe%20.jpg3.webp?alt=media&token=7a6c4620-b5d1-4cb2-98ef-4f3b882c5fd5,,Abierto las 24 horas,No disponible,Un tributo al ícono musical de Barranquilla.,No disponible
fundacin-botnica-y-zoolgica-de-barranquilla,Fundación Botánica y Zoológica de Barranquilla,"Cl. 77 #68-40, Barranquilla, Atlántico, Colombia","Naturaleza, Familia, Avistamiento","{lng: -74.8050, lat: 11.0150}","La Fundación Botánica y Zoológica de Barranquilla es un zoológico y jardín botánico que alberga especies nativas y exóticas, ideal para familias y amantes del ecoturismo. Este espacio ofrece recorridos educativos y oportunidades de avistamiento de aves, promoviendo la conservación. Consejos: Lleve agua, protector solar y binoculares para observar aves. Visite por la mañana. Cómo llegar: Tome un taxi o autobús por la Calle 77 (15 min desde el centro).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/fundacion%20botanica.webp?alt=media&token=22c91f38-2def-4d70-9dd4-ec553ed9586c,,"De lunes a domingo, de 9:00 a.m. a 5:00 p.m.",(+57) (605) 360 0314,Conservación y educación de la fauna caribeña,www.zoobaq.org
gran-malecn-puerta-de-oro,Gran Malecón Puerta de Oro,"Vía 40, Barranquilla, Atlántico, Colombia","Cultura, Familia, Fotografía","{lng: -74.7700, lat: 11.0000}","El Gran Malecón Puerta de Oro, a orillas del río Magdalena, es un paseo ribereño que combina naturaleza, cultura y gastronomía. Ideal para bicis, trote y caminatas, este destino ofrece vistas panorámicas y mercados gourmet con mariscos frescos. Es un punto clave para eventos culturales y festivales. Consejos: Visite al atardecer; lleve calzado cómodo. Combine con el Mercado Sazón. Cómo llegar: Tome un taxi o autobús a Vía 40 (10 min desde el centro).",,https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/malecon-de-barranquilla.jpg?alt=media&token=7b973aad-d423-404a-a436-cbfba2a2655c,,Abierto las 24 horas,No Disponible,Camina en el corazón de Barranquilla.,https://www.granmaleconpuertadeoro.com
