Document ID,address,categories,description,email,image,name,opening-time,openingTime,phone,tagline,website,lat,lng
aeropuerto-internacional-ernesto-cortissoz,"""Ernesto Cortissoz Barranquilla International Airport, Calle 30, Km 7 Aeropuerto Ernesto Cortissoz, Soledad, Atlántico, Colombia""","Nocturna, Compras, Coctelería","""Aeropuerto Internacional Ernesto Cortissoz, nombrado en honor al pionero de la aviación en Colombia, sirve como la principal puerta aérea que conecta a Barranquilla con destinos nacionales e internacionales. Su ubicación estratégica entre Norteamérica y Sudamérica lo convierte en un punto crucial para los viajeros, garantizando un tránsito fluido a lo largo del continente. Con áreas de espera cómodas, diversas opciones gastronómicas, tiendas libres de impuestos y modernas instalaciones, el aeropuerto está diseñado para satisfacer las necesidades de todo tipo de viajeros...""","""""",https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/aeropuerto%20ernesto%20cortizos.webp?alt=media&token=6bbdc4d6-67bf-4932-bf30-7fc0bc155e1c,"""Aeropuerto internacional Ernesto Cortissoz""",,"""24 Hours""","""+57 (605) 316 0900""","""Conecta el caribe con el mundo.""","""https://www.aeropuertocortissoz.com.co""",11.001677,-74.80984
artesanas-de-la-plaza-de-la-convivencia,"""Usiacurí, Atlantico, Colombia""","Eco, Cultura, Historia, Compras, Arte","""En la Plaza de La Convivencia, frente a la Casa Museo Julio Flórez, se encuentran las Artesanas de la Plaza de La Convivencia, un grupo de seis maestras artesanas que ofrecen sus productos elaborados en Palma de Iraca. Estos artículos incluyen accesorios para damas y elementos decorativos para el hogar. Cada pieza es hecha con destreza y dedicación, reflejando la tradición artesanal de la región. Visitar este stand de exposición es una oportunidad única para apreciar la belleza de las artesanías locales y apoyar a las talentosas mujeres que las elaboran.""","""""",https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/artesanias%20convivencia.webp?alt=media&token=91b74617-b81f-42f4-be6b-97ec0a5cb2ed,"""Artesanas de la Plaza de La Convivencia""",,"""No Disponible""","""No Disponible""","""Tradición y talento femenino en la Plaza de Usiacurí""","""No Disponible""",10.743516,-74.97886
casa-museo-julio-flrez,"""Tv. 20, Usiacurí, Atlántico, Colombia""","Cultura, Historia, Romántico, Arte","""La Casa Museo Julio Flórez es mucho más que una simple residencia; es un viaje al pasado y una puerta hacia el legado del icónico poeta romántico colombiano, Julio Flórez. Situada en el pintoresco municipio de Usiacurí, este lugar histórico no solo conserva la casa donde el poeta pasó sus últimos trece años de vida junto a su esposa Petrona Moreno y sus cinco hijos, sino también su legado literario y cultural. Declarado Patrimonio Cultural de la Nación en 2007, la casa mantiene los colores favoritos del poeta —blanco y azul—, lo cual le otorga una atmósfera auténtica y nostálgica que transporta a los visitantes a una época donde la poesía y el arte jugaban un papel crucial en la vida cotidiana.""","""""",https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/casa%20museo%20julio%20florez.webp?alt=media&token=4326c510-e833-4a5d-ad66-f841a5803165,"""Casa Museo Julio Flórez""",,"""Viernes a domingo 1:00 p.m. – 5:00 p.m.""","""(+57) 314 549 9201""","""El hogar del poeta romántico de Colombia""","""www.casamuseojulioflorez.org""",10.746079,-74.980701
catedral-metropolitana-mara-reina,"""Cl. 53 & Cra. 46, Nte. Centro Historico, Barranquilla, Atlántico, Colombia""","Playas, Nocturna, Bienestar, Arte, Coctelería","""La Catedral Metropolitana María Reina es el corazón espiritual de Barranquilla y un testimonio arquitectónico de la fe moderna. Inaugurada en 1982, esta catedral es conocida por su diseño imponente y contemporáneo, que emula una carpa gigante. Con una capacidad para más de 4,000 personas, la catedral es un espacio amplio y lleno de luz, donde los vitrales multicolores bañan el interior con un aura de tranquilidad. Los visitantes se sienten acogidos por el ambiente sereno y su gran nave central que simboliza el abrazo de la fe. Es un lugar ideal para la reflexión espiritual y para admirar la conexión entre el arte moderno y la devoción.""","""""",https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/catedral%20metropolitana%20maria%20reina%202.webp?alt=media&token=9b851781-e3a9-4e43-828f-840d60f2276f,"""Catedral Metropolitana María Reina""",,"""Abierto las 24 horas""","""No disponible""","""Un símbolo de la fe y la modernidad en Barranquilla.""","""https://www.catedralmariareina.com""",11.001677,-74.80984
centro-artesanal-corina-urueta,"""Cl. 9A #22-27, Sur Orient, Barranquilla, Atlántico, Colombia""","Cultura, Bienestar, Compras, Arte","""El Centro Artesanal Corina Urueta en Usiacurí es un espacio dedicado a la memoria y desarrollo de la actividad artesanal propia de los usiacureños. Este centro es a la vez una casa, una escuela y un laboratorio donde se tejen sentimientos en fibras y alambres con aguja. Fundado en honor a Corina Urueta, la primera docente en Usiacurí que impulsó las artesanías y logró llevarlas por primera vez a Aruba, San Andrés y Providencia, el centro es un testimonio de la pasión y dedicación a la enseñanza y creación artesanal. Ven a conocer cómo se mantiene viva la tradición y cómo el 90% de la población de Usiacurí participa en este arte.""","""""",https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/centro%20artesanal%20corina%20urueta.webp?alt=media&token=75e11f4a-c89f-4524-8b88-ce7bb2177694,"""Centro Artesanal Corina Urueta""",,"""No Disponible""","""No Disponible""","""Preservando el legado artesanal de Usiacurí""","""No Disponible""",11.001677,-74.80984
ecomochilas-de-luruaco,"""Los Limites, Atlántico, Colombia""","Eco, Cultura, Naturaleza, Compras, Arte","""Las Ecomochilas de Luruaco son un proyecto de la Asociación de Artesanas Unidad de los Límites, donde 32 mujeres de la vereda de Los Límites han transformado su relación con el medio ambiente. Con el apoyo de la Fundación Proyecto Tití y la Gobernación del Atlántico, estas mujeres han reemplazado la tala del bosque y la caza del tití por la creación de mochilas y bolsos artesanales hechos con bolsas plásticas y materiales reciclables. A partir de 2017, también comenzaron una iniciativa de turismo comunitario, donde los visitantes pueden realizar actividades de agroturismo y apreciar la biodiversidad local, como monos aulladores y titís. Este proyecto es un ejemplo inspirador de cómo el arte y la sostenibilidad pueden ir de la mano.""","""""","https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/ecomochila%201.webp?alt=media&token=54fc029e-050d-4611-9881-68cfa2247e2c, https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/ecomochila%202.webp?alt=media&token=043d0bb8-cbb8-40c3-a2f7-7bb5c5f57137, https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/ecomochila%203.webp?alt=media&token=a6bc6634-c8ff-45dd-b75a-80a455ddc07a ","""Ecomochilas de Luruaco""",,"""No Disponible""","""(+57) 321 5703 741""","""Artesanía ecológica hecha con materiales reciclados""","""No Disponible""",10.981076,-74.798883
edgar-rentera-baseball-stadium,"""Cl. 54 #40, La Sierrita, Barranquilla, Atlántico, Colombia""","Historia, Deportes, Nocturna, Coctelería","""El Estadio de Béisbol Édgar Rentería, que cumple con los estándares de la MLB, está dedicado a celebrar la pasión de Colombia por el béisbol. Nombrado en honor al legendario jugador de la MLB nacido en Barranquilla, Édgar Rentería, este estadio alberga tanto partidos locales como internacionales de béisbol. En su interior, cuenta con un museo que muestra la historia del béisbol colombiano, brindando a los visitantes una visión del desarrollo del deporte desde sus inicios hasta la actualidad. El estadio ofrece una experiencia inmersiva para los fanáticos del béisbol y para aquellos que sienten curiosidad por el deporte...""","""""",https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/estadio%20de%20beisbol%20edgar%20renteria.webp?alt=media&token=a9e1ec1f-831c-407f-bed0-1157e0737e18,"""Edgar Rentería Baseball Stadium""",,"""9 AM - 6 PM""","""No Disponible""","""Colombia celebra la pasion por el beisbol""","""https://www.edgarrenteriastadium.com""",11.001677,-74.80984
el-castillo-de-salgar,"""Cra. 38 #35-2, Bolivar, Barranquilla, Atlántico, Colombia""","Playas, Cultura, Historia, Nocturna, Festivales, Coctelería","""El Castillo de Salgar, también conocido como Fuerte de Santa Bárbara, es una edificación que conserva rasgos de la arquitectura colonial. Declarado patrimonio cultural y bien cultural de la Nación, este sitio ofrece una excepcional ubicación y un paisaje frente al Mar Caribe. Actualmente está siendo restaurado para convertirse en un ícono arquitectónico, culinario y de eventos en el Atlántico. Con un mirador y zonas sociales, es el lugar perfecto para disfrutar de la historia y cultura del Atlántico.""","""""",https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/el%20castillo%20de%20salgar.webp?alt=media&token=c2d3ec46-1d35-4df8-a1d2-06448d20853e,"""El Castillo de Salgar""",,"""No Disponible""","""(605) 320 7300""","""Arquitectura colonial frente al Mar Caribe""","""www.atlanticoesmas.com""",10.976822,-74.780438
el-solar-de-mao---granja-eco-campestre,"""Cr. de la Cordialidad, Barranquilla, Atlántico, Colombia""","Playas, Eco, Familia, Naturaleza","""El Solar de Mao es una granja eco-campestre que ofrece el primer mariposario del Caribe, donde los visitantes pueden disfrutar del contacto directo con la naturaleza. Además, cuenta con una huerta orgánica, ponys, cerditos miniatura y muchos otros animales domésticos y silvestres. Es un lugar ideal para quienes buscan una experiencia enriquecedora en un entorno natural, perfecto para familias y amantes del ecoturismo.""","""""",https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/solar%20de%20mao.webp?alt=media&token=01a3ce80-a8de-4d5f-a700-971ca1bf153e,"""El Solar de Mao - Granja Eco Campestre""",,"""Lunes a viernes: 5:30 a.m. a 12:30 p.m. sábados y domingo: 9:00 a.m. a 5:00 p.m.""","""(+57) 300 201 8129""","""Conecta con la naturaleza en el primer mariposario del Caribe""","""info@solardemao.com""",10.61062,-75.143877
estatua-homenaje-joe-arroyo,"""Músicos Park, Nte. Centro Historico, Barranquilla, Atlántico, Colombia""","Eco, Cultura, Historia, Familia, Nocturna, Fotografía, Arte, Coctelería","""La estatua de Joe Arroyo en Barranquilla es un homenaje a uno de los músicos más importantes de Colombia, conocido por su gran aporte al género de la salsa y la música tropical. Diseñada por el artista Yino Márquez, la estatua muestra a Joe Arroyo con un gesto característico que refleja su conexión con la música y el público. Situada en el tradicional Parque de los Músicos, la estatua es un punto de encuentro para los amantes de la música y la cultura costeña. Este monumento es un recordatorio de la pasión y el talento de Joe Arroyo, un ícono barranquillero que siempre será recordado por sus contribuciones al folclor colombiano. Es un lugar perfecto para capturar fotografías y sumergirse en la historia de la música del Caribe.""","""""",https://firebasestorage.googleapis.com/v0/b/visitatlantico-f5c09.firebasestorage.app/o/estatua%20de%20joe%20.jpg3.webp?alt=media&token=7a6c4620-b5d1-4cb2-98ef-4f3b882c5fd5,"""Estatua Homenaje Joe Arroyo""",,"""Abierto las 24 horas""","""No disponible""","""Un tributo al ícono musical de Barranquilla.""","""No disponible""",11.001677,-74.80984
